DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,OB1,OB2,OB3,OB4,OB5,OB6
1506,2015-06-03,LOTTO,20,21,16,39,23,18,31,0,0.00,1,97513.00,44,4986.00,67,1819.00,1632,250.00,1851,144.00,26869,32.00,0,0.00,16,18,20,21,23,39
1507,2015-06-06,LOTTO,21,4,33,22,38,24,19,1,25000000.00,1,284379.00,98,6529.00,266,1336.00,4288,278.00,7422,105.00,78884,32.00,0,0.00,4,21,22,24,33,38
1508,2015-06-10,LOTTO,3,48,23,37,40,5,2,1,807371.00,0,0.00,33,17428.00,177,1891.00,2370,313.00,3071,158.00,44922,36.00,0,0.00,3,5,23,37,40,48
1509,2015-06-13,LOTTO,10,24,43,35,23,36,37,1,1107575.00,0,0.00,61,12934.00,153,1983.00,3189,319.00,3873,172.00,59544,37.00,0,0.00,10,23,24,35,36,43
1510,2015-06-17,LOTTO,34,28,22,13,14,32,15,0,0.00,1,174385.00,62,6328.00,136,1602.00,2652,275.00,3746,128.00,46474,33.00,0,0.00,13,14,22,28,32,34
1511,2015-06-20,LOTTO,28,4,48,45,44,39,12,0,0.00,0,0.00,48,17283.00,163,1958.00,2862,374.00,4796,146.00,56414,41.00,0,0.00,4,28,39,44,45,48
1512,2015-06-24,LOTTO,3,39,5,23,43,36,45,0,0.00,1,191630.00,49,8799.00,95,2522.00,2655,302.00,3021,175.00,50105,34.00,0,0.00,3,5,23,36,39,43
1513,2015-06-27,LOTTO,32,18,42,37,6,28,39,1,4187432.00,1,296517.00,108,6175.00,207,1791.00,4585,271.00,5223,153.00,76674,34.00,0,0.00,6,18,28,32,37,42
1514,2015-07-01,LOTTO,22,39,16,4,1,10,13,0,0.00,0,0.00,77,10090.00,226,1322.00,3872,259.00,5186,127.00,66582,32.00,0,0.00,1,4,10,16,22,39
1515,2015-07-04,LOTTO,5,6,2,7,8,37,48,0,0.00,3,102369.00,245,2820.00,224,1714.00,7708,167.00,5558,152.00,101333,27.00,0,0.00,2,5,6,7,8,37
1516,2015-07-08,LOTTO,30,23,39,48,5,26,47,0,0.00,0,0.00,56,13572.00,104,2811.00,3064,319.00,3257,198.00,57170,37.00,0,0.00,5,23,26,30,39,48
1517,2015-07-11,LOTTO,14,30,3,2,25,31,5,0,0.00,0,0.00,75,12814.00,212,1744.00,17772,70.00,6494,125.00,70427,38.00,0,0.00,2,3,14,25,30,31
1518,2015-07-15,LOTTO,13,36,8,43,12,38,40,0,0.00,3,75788.00,79,6476.00,232,1225.00,3583,266.00,4867,129.00,66647,31.00,0,0.00,8,12,13,36,38,43
1519,2015-07-18,LOTTO,5,18,31,22,32,7,15,1,7286638.00,6,48995.00,97,6819.00,245,1500.00,5081,242.00,7809,104.00,88817,30.00,0,0.00,5,7,18,22,31,32
1520,2015-07-22,LOTTO,40,47,49,23,20,43,15,2,482742.00,1,211613.00,73,6522.00,155,1707.00,3114,285.00,3902,149.00,51649,37.00,0,0.00,20,23,40,43,47,49
1521,2015-07-25,LOTTO,15,24,35,18,42,17,22,1,1394169.00,2,152786.00,132,5209.00,255,1498.00,5545,231.00,7231,116.00,85646,32.00,0,0.00,15,17,18,24,35,42
1522,2015-07-29,LOTTO,34,28,6,3,43,39,2,1,1075903.00,1,235814.00,49,10828.00,138,2136.00,3170,311.00,3667,177.00,58018,37.00,0,0.00,3,6,28,34,39,43
1523,2015-08-01,LOTTO,33,40,24,8,38,22,26,0,0.00,4,82125.00,104,7107.00,275,1493.00,5416,254.00,6803,133.00,91808,32.00,0,0.00,8,22,24,33,38,40
1524,2015-08-05,LOTTO,15,34,38,8,17,29,31,1,2646180.00,3,83828.00,75,7545.00,159,1977.00,3703,284.00,4406,157.00,66969,34.00,0,0.00,8,15,17,29,34,38
1525,2015-08-08,LOTTO,29,12,22,17,37,48,40,2,691053.00,6,50488.00,111,6140.00,230,1646.00,4577,277.00,5893,141.00,78473,35.00,0,0.00,12,17,22,29,37,48
1526,2015-08-12,LOTTO,32,29,20,6,25,35,46,1,1002985.00,2,109916.00,62,7978.00,117,2349.00,3088,298.00,3058,198.00,55791,36.00,0,0.00,6,20,25,29,32,35
1527,2015-08-15,LOTTO,11,33,16,2,43,24,14,0,0.00,4,77053.00,147,4718.00,285,1352.00,5815,222.00,8417,101.00,95151,29.00,0,0.00,2,11,16,24,33,43
1528,2015-08-19,LOTTO,28,2,3,1,23,6,24,0,0.00,4,55844.00,100,5026.00,211,1323.00,8519,110.00,4365,141.00,66063,30.00,0,0.00,1,2,3,6,23,28
1529,2015-08-22,LOTTO,4,9,38,34,41,1,17,0,0.00,1,296105.00,65,10250.00,230,1609.00,3843,323.00,6143,133.00,73952,36.00,0,0.00,1,4,9,34,38,41
1530,2015-08-26,LOTTO,37,20,21,42,11,30,28,0,0.00,1,250501.00,49,11503.00,139,2253.00,3491,301.00,4239,162.00,64516,35.00,0,0.00,11,20,21,30,37,42
1531,2015-08-29,LOTTO,36,28,14,32,46,31,3,0,0.00,0,0.00,50,22234.00,167,2560.00,3499,409.00,5329,177.00,76664,40.00,0,0.00,14,28,31,32,36,46
1532,2015-09-02,LOTTO,6,4,3,23,39,8,18,0,0.00,3,96069.00,89,7288.00,230,1567.00,5164,234.00,7063,112.00,92155,28.00,0,0.00,3,4,6,8,23,39
1533,2015-09-05,LOTTO,8,19,2,1,18,42,10,1,9334857.00,3,112483.00,89,8531.00,296,1425.00,5390,262.00,8192,113.00,93948,32.00,0,0.00,1,2,8,18,19,42
1534,2015-09-09,LOTTO,45,37,7,41,9,23,31,0,0.00,1,244298.00,66,8328.00,159,1921.00,3361,304.00,5207,129.00,64408,34.00,0,0.00,7,9,23,37,41,45
1535,2015-09-12,LOTTO,7,2,21,47,42,43,48,0,0.00,2,152781.00,62,11089.00,172,2221.00,3823,335.00,4988,169.00,76000,36.00,0,0.00,2,7,21,42,43,47
1536,2015-09-16,LOTTO,47,7,38,3,13,5,28,0,0.00,2,120113.00,61,8861.00,170,1766.00,4033,249.00,4884,135.00,71085,30.00,0,0.00,3,5,7,13,38,47
1537,2015-09-19,LOTTO,9,1,39,33,19,2,16,0,0.00,0,0.00,118,8225.00,273,1367.00,8940,211.00,6680,123.00,93522,29.00,0,0.00,1,2,9,19,33,39
1538,2015-09-23,LOTTO,8,46,23,28,14,35,17,0,0.00,1,230257.00,63,8223.00,217,1326.00,2970,325.00,5254,121.00,55942,37.00,0,0.00,8,14,23,28,35,46
1539,2015-09-26,LOTTO,32,9,39,37,46,28,42,0,0.00,3,105931.00,51,14020.00,246,1615.00,3968,335.00,5898,148.00,72642,39.00,0,0.00,9,28,32,37,39,46
