DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,WIN9,DIV9
1851,2018-09-22,LOTTO,4,30,36,43,44,52,38,0,0,2,55066.90,18,10640.90,61,3924.90,1716,234.40,2557,136.70,38148,50.00,28994,20.00
1850,2018-09-19,LOTTO,21,29,14,19,7,39,26,1,23744139.50,0,0,49,4057.50,128,1232.70,2680,98.90,3112,74.10,46417,50.00,30936,20.00
1849,2018-09-15,LOTTO,16,36,41,43,4,9,14,0,0,1,114089.60,49,4049.30,119,2084.20,2427,171.70,3678,98.40,48789,50.00,40159,20.00
1848,2018-09-12,LOTTO,33,13,39,04,09,18,29,0,0,2,36941.40,48,2676.90,124,1295.30,2370,113.90,2946,79.60,43138,50.00,29720,20.00
1847,2018-09-08,LOTTO,43,52,40,6,14,25,16,0,0,1,114717.80,40,4987.70,108,2309.10,2067,202.60,3059,119.00,40554,50.00,34287,20.00
1846,2018-09-05,LOTTO,1,7,22,15,31,29,6,0,0,1,82290.30,71,2015.70,131,1365.60,2695,111.50,3370,77.60,46210,50.00,34056,20.00
1845,2018-09-01,LOTTO,1,29,26,14,11,25,20,0,0,0,0,59,5150.30,147,1640.60,3156,128.40,3998,88.00,55332,50.00,43833,20.00
1844,2018-08-29,LOTTO,2,29,28,10,46,14,41,0,0,2,42640.90,36,4118.00,84,2206.10,1878,165.80,2253,120.10,39713,50.00,25347,20.00
1843,2018-08-25,LOTTO,9,23,20,14,10,18,11,0,0,2,47181.10,86,1908.20,194,1057.40,3402,101.30,4918,60.90,58369,50.00,47485,20.00
1842,2018-08-22,LOTTO,46,3,23,21,2,41,9,2,15326746.60,2,45481.60,42,3766.60,94,2103.60,1830,181.50,3091,93.40,37866,50.00,37881,20.00
1841,2018-08-18,LOTTO,18,1,31,36,29,35,46,0,0,1,114244.90,35,5676.70,89,2790.60,2491,167.50,3105,116.80,50993,50.00,33658,20.00
1840,2018-08-15,LOTTO,16,5,25,13,36,50,33,0,0,0,0,42,5777.60,117,1646.00,2158,150.00,3137,89.60,40602,50.00,32557,20.00
1839,2018-08-11,LOTTO,51,37,17,25,24,36,29,0,0,1,114954.90,41,4876.20,87,2872.40,2064,203.40,2924,124.80,44537,50.00,32932,20.00
